School Name,Borough,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing)
Foreign Language Academy of Global Studies,Bronx,,,
Hostos-Lincoln Academy of Science,Bronx,463,451,435
"HERO High (Health, Education, and Research Occupations High School)",Bronx,,,
University Heights Secondary School,Bronx,420,446,424
Mott Haven Village Preparatory High School,Bronx,377,373,369
High School for Violin and Dance,Bronx,363,401,396
Bronx International High School,Bronx,355,330,320
School for Tourism and Hospitality,Bronx,,,
Bronx Career and College Preparatory High School,Bronx,370,379,381
Bronx Center for Science and Mathematics,Bronx,513,468,485
Bronx Early College Academy for Teaching and Learning,Bronx,424,413,409
Eximius College Preparatory Academy (College Board),Bronx,400,391,397
Bronx Latin,Bronx,394,381,363
School for Excellence,Bronx,377,385,383
Morris Academy for Collaborative Studies,Bronx,407,389,386
Frederick Douglass Academy III Secondary School,Bronx,387,386,386
Claremont International High School,Bronx,,,
Urban Assembly School for Applied Math and Science,Bronx,445,418,422
Bronx Collegiate Academy,Bronx,395,401,382
Mott Hall Bronx High School,Bronx,417,399,398
Leadership Institute,Bronx,,,
New Directions Secondary School,Bronx,,,
Bronx Leadership Academy High School,Bronx,375,372,374
Validus Preparatory Academy: An Expeditionary Learning School,Bronx,382,375,384
Bronx High School for Medical Science,Bronx,431,421,426
Eagle Academy for Young Men,Bronx,398,410,397
Bronx High School of Business,Bronx,365,360,346
DreamYard Preparatory School,Bronx,385,385,388
Theatre Arts Production Company School,Bronx,402,421,410
West Bronx Academy for the Future,Bronx,404,383,378
Crotona International High School,Bronx,,,
Bronx High School for Law and Community Service,Bronx,401,402,386
Bronx Academy for Software Engineering (BASE),Bronx,,,
Belmont Preparatory High School,Bronx,413,408,402
Fordham High School for the Arts,Bronx,398,404,412
High School for Energy and Technology,Bronx,,,
Knowledge and Power Preparatory Academy International High School (KAPPA),Bronx,408,417,404
Fordham Leadership Academy for Business and Technology,Bronx,355,373,368
Metropolitan High School,Bronx,387,388,386
Holcombe L. Rucker School of Community Research,Bronx,376,372,369
Banana Kelly High School,Bronx,378,391,378
Bronx Studio School for Writers and Artists,Bronx,417,412,403
Peace and Diversity Academy,Bronx,366,362,365
East Bronx Academy for the Future,Bronx,418,406,408
Bronx Envision Academy,Bronx,364,385,366
Fannie Lou Hamer Freedom High School,Bronx,345,347,339
Explorations Academy,Bronx,377,372,365
Urban Assembly School for Wildlife Conservation,Bronx,393,397,379
Wings Academy,Bronx,379,372,373
Schuylerville Preparatory High School,Bronx,,,
Renaissance High School for Musical Theater and Technology,Bronx,390,411,393
Westchester Square Academy,Bronx,,,
Pelham Lab High School,Bronx,,,
Herbert H. Lehman High School,Bronx,426,419,407
Bronx River High School,Bronx,,,
Bronx High School for the Visual Arts,Bronx,408,428,404
In-Tech Academy,Bronx,426,419,404
Bronx School of Law and Finance,Bronx,384,394,366
Bronx Engineering and Technology Academy,Bronx,394,406,391
Bronx Theatre High School,Bronx,382,384,390
Marble Hill High School for International Studies,Bronx,451,417,423
"Marie Curie School for Medicine, Nursing, and Health Professions",Bronx,423,420,425
Riverdale/Kingsbridge Academy,Bronx,496,485,476
New World High School,Bronx,407,363,358
Bronxwood Preparatory Academy,Bronx,392,408,392
Academy for Scholarship and Entrepreneurship (College Board),Bronx,392,408,400
High School for Contemporary Arts,Bronx,367,381,361
Bronx Aerospace High School,Bronx,403,410,393
Bronx Academy of Health Careers,Bronx,386,380,391
High School of Computers and Technology,Bronx,396,399,377
Bronx Lab School,Bronx,407,416,401
Bronx High School for Writing and Communication Arts,Bronx,380,437,425
High School for Teaching and the Professions,Bronx,372,361,369
Bronx High School of Science,Bronx,714,660,667
Kingsbridge International High School,Bronx,366,311,310
Discovery High School,Bronx,432,396,395
World View High School,Bronx,,,
Celia Cruz Bronx High School of Music,Bronx,417,434,425
High School of American Studies at Lehman College,Bronx,669,672,672
DeWitt Clinton High School,Bronx,445,436,433
International School for Liberal Arts,Bronx,390,387,379
Bronx Collaborative High School,Bronx,,,
Astor Collegiate Academy,Bronx,422,417,409
Pelham Preparatory Academy,Bronx,420,433,425
High School of Language and Innovation,Bronx,356,340,320
Collegiate Institute for Math and Science,Bronx,488,461,458
Bronxdale High School,Bronx,418,432,436
Pan American International High School at Monroe,Bronx,317,315,292
Cinema School,Bronx,430,449,448
Monroe Academy for Visual Arts and Design,Bronx,361,354,351
Mott Hall V,Bronx,430,422,414
Metropolitan Soundview High School,Bronx,444,428,422
High School of World Cultures,Bronx,356,359,347
Millennium Art Academy,Bronx,396,413,395
Bronx Guild,Bronx,365,393,357
"Archimedes Academy for Math, Science, and Technology Applications",Bronx,418,430,403
Bronx Bridges High School,Bronx,,,
Pablo Neruda Academy,Bronx,394,384,383
Women's Academy of Excellence,Bronx,386,390,389
Bronx Compass High School,Bronx,,,
Felisa Rincon de Gautier Institute for Law and Public Policy,Bronx,389,408,413
Antonia Pantoja Preparatory Academy (College Board),Bronx,435,415,423
Bronx Health Sciences High School,Bronx,407,421,427
Harry S. Truman High School,Bronx,400,401,391
Queens Vocational and Technical High School,Queens,467,436,432
High School of Applied Communication,Queens,435,437,441
Middle College High School at LaGuardia Community College,Queens,377,389,377
Academy for Careers in Television and Film,Queens,444,458,444
Aviation Career and Technical Education High School,Queens,511,464,456
Academy of American Studies,Queens,495,482,479
Newcomers High School,Queens,490,374,381
Bard High School Early College Queens,Queens,631,598,610
International High School at LaGuardia Community College,Queens,425,367,365
Information Technology High School,Queens,443,420,411
Robert F. Wagner Jr. Secondary School for Arts and Technology,Queens,478,445,445
Academy of Finance and Enterprise,Queens,489,456,459
Young Women's Leadership School in Astoria,Queens,483,464,477
William Cullen Bryant High School,Queens,466,424,426
Long Island City High School,Queens,430,423,412
Frank Sinatra School of the Arts High School,Queens,536,543,543
Energy Tech High School,Queens,,,
Baccalaureate School for Global Education,Queens,633,620,628
"Science Skills Center High School for Science, Technology, and the Creative Arts",Brooklyn,399,397,386
Brooklyn International High School,Brooklyn,432,334,333
Brooklyn Frontiers High School,Brooklyn,,,
School for International Studies,Brooklyn,417,406,394
Brooklyn School for Global Studies,Brooklyn,393,381,402
"City Polytechnic High School of Engineering, Architecture, and Technology",Brooklyn,503,477,427
Urban Assembly Institute of Math and Science for Young Women,Brooklyn,397,415,407
Urban Assembly School for Law and Justice,Brooklyn,446,443,430
Cobble Hill School of American Studies,Brooklyn,416,420,402
George Westinghouse Career and Technical Education High School,Brooklyn,394,422,400
Urban Assembly High School of Music and Art,Brooklyn,372,372,361
Cultural Academy for the Arts and Sciences,Brooklyn,382,395,384
Brooklyn Institute for Liberal Arts,Brooklyn,,,
Kurt Hahn Expeditionary Learning School,Brooklyn,378,394,388
School for Human Rights,Brooklyn,398,411,400
It Takes a Village Academy,Brooklyn,364,374,361
High School for Public Service: Heroes of Tomorrow,Brooklyn,468,454,464
Arts and Media Preparatory Academy,Brooklyn,370,383,374
School for Democracy and Leadership,Brooklyn,386,385,390
Urban Assembly School for Criminal Justice,Brooklyn,428,413,417
Franklin Delano Roosevelt High School,Brooklyn,504,411,407
"Brooklyn Community High School of Communication, Arts, and Media",Brooklyn,358,386,380
Dr. Susan S. McKinney Secondary School of the Arts,Brooklyn,332,346,350
Benjamin Banneker Academy,Brooklyn,479,484,472
Juan Morel Campos Secondary School,Brooklyn,366,356,353
Brooklyn Latin School,Brooklyn,625,588,591
Foundations Academy,Brooklyn,,,
Young Women's Leadership School of Brooklyn,Brooklyn,,,
Green School: An Academy for Environmental Careers,Brooklyn,384,398,399
Lyons Community School,Brooklyn,374,376,357
World Academy for Total Community Health High School,Brooklyn,380,389,384
FDNY High School for Fire and Life Safety,Brooklyn,365,369,357
W. H. Maxwell Career and Technical Education High School,Brooklyn,326,333,350
High School for Civil Rights,Brooklyn,391,373,376
Performing Arts and Technology High School,Brooklyn,375,393,394
East New York Family Academy,Brooklyn,464,451,421
Brooklyn Lab School,Brooklyn,383,376,370
Multicultural High School,Brooklyn,319,323,284
"School for Classics: An Academy of Thinkers, Writers, and Performers",Brooklyn,387,391,383
Urban Assembly School for Collaborative Healthcare,Brooklyn,,,
Spring Creek Community School,Brooklyn,,,
Transit Tech Career and Technical Education High School,Brooklyn,387,387,384
Cypress Hills Collegiate Preparatory School,Brooklyn,365,370,362
Academy for Young Writers,Brooklyn,382,413,391
Academy of Innovative Technology,Brooklyn,395,376,359
Fort Hamilton High School,Brooklyn,513,456,451
Midwood High School,Brooklyn,550,514,516
PROGRESS High School for Professional Careers,Brooklyn,380,377,384
"High School for Enterprise, Business, and Technology",Brooklyn,463,446,425
Brooklyn Preparatory High School,Brooklyn,391,406,391
El Puente Academy for Peace and Justice,Brooklyn,344,380,379
School for Legal Studies,Brooklyn,393,390,394
Williamsburg Preparatory School,Brooklyn,443,440,430
Williamsburg High School for Architecture and Design,Brooklyn,415,424,407
Frederick Douglass Academy VII High School,Brooklyn,400,407,394
Teachers Preparatory High School,Brooklyn,394,399,412
Pathways in Technology Early College High School,Brooklyn,446,442,410
Academy for Health Careers,Brooklyn,406,405,396
Boys and Girls High School,Brooklyn,399,392,394
Nelson Mandela School for Social Justice,Brooklyn,,,
High School of Sports Management,Brooklyn,367,374,361
Brooklyn Studio Secondary School,Brooklyn,458,434,434
International High School at Lafayette,Brooklyn,424,343,337
Expeditionary Learning School for Community Leaders,Brooklyn,420,396,396
New Utrecht High School,Brooklyn,488,422,417
Life Academy High School for Film and Music,Brooklyn,369,379,378
